"Date","Region","Industry","UOM","Employment"
"2015-01","Alberta","Mining, quarrying, and oil and gas extraction [21]","Persons",131462
"2015-01","Alberta","Utilities [22]","Persons",14995
"2015-01","Alberta","Construction [23]","Persons",215299
"2015-01","Alberta","Manufacturing [31-33]","Persons",139838
"2015-01","Alberta","Service producing industries [41-91N]","Persons",1556088
"2015-01","Alberta","Trade [41-45N]","Persons",351987
"2015-01","Alberta","Wholesale trade [41]","Persons",107369
"2015-01","Alberta","Retail trade [44-45]","Persons",244619
"2015-01","Alberta","Transportation and warehousing [48-49]","Persons",102521
"2015-01","Alberta","Information and cultural industries [51]","Persons",28942
"2015-01","Alberta","Finance and insurance [52]","Persons",61812
"2015-01","Alberta","Real estate and rental and leasing [53]","Persons",43105
"2015-01","Alberta","Professional, scientific and technical services [54]","Persons",130426
"2015-01","Alberta","Management of companies and enterprises [55]","Persons",19361
"2015-01","Alberta","Administrative and support, waste management and remediation services [56]","Persons",99195
"2015-01","Alberta","Educational services [61]","Persons",135326
"2015-01","Alberta","Health care and social assistance [62]","Persons",185568
"2015-01","Alberta","Arts, entertainment and recreation [71]","Persons",32733
"2015-01","Alberta","Accommodation and food services [72]","Persons",174175
"2015-01","Alberta","Other services (except public administration) [81]","Persons",85119
"2015-01","Alberta","Public administration [91]","Persons",105818
"2015-01","British Columbia","Industrial aggregate including unclassified businesses [00-91N]","Persons",2049285
"2015-01","British Columbia","Industrial aggregate excluding unclassified businesses [11-91N]","Persons",2012454
"2015-01","British Columbia","Goods producing industries [11-33N]","Persons",324146
"2015-01","British Columbia","Forestry, logging and support [11N]","Persons",17055
"2015-01","British Columbia","Mining, quarrying, and oil and gas extraction [21]","Persons",21246
"2015-01","British Columbia","Utilities [22]","Persons",8651
"2015-01","British Columbia","Construction [23]","Persons",136156
"2015-01","British Columbia","Manufacturing [31-33]","Persons",141039
"2015-01","British Columbia","Service producing industries [41-91N]","Persons",1688308
"2015-01","British Columbia","Trade [41-45N]","Persons",354067
"2015-01","British Columbia","Wholesale trade [41]","Persons",91693
"2015-01","British Columbia","Retail trade [44-45]","Persons",262374
"2015-01","British Columbia","Transportation and warehousing [48-49]","Persons",105771
"2015-01","British Columbia","Information and cultural industries [51]","Persons",47621
"2015-01","British Columbia","Finance and insurance [52]","Persons",80897
"2015-01","British Columbia","Real estate and rental and leasing [53]","Persons",43446
"2015-01","British Columbia","Professional, scientific and technical services [54]","Persons",112554
"2015-01","British Columbia","Management of companies and enterprises [55]","Persons",13777
"2015-01","British Columbia","Administrative and support, waste management and remediation services [56]","Persons",101898
"2015-01","British Columbia","Educational services [61]","Persons",145413
"2015-01","British Columbia","Health care and social assistance [62]","Persons",245157
"2015-01","British Columbia","Arts, entertainment and recreation [71]","Persons",38228
"2015-01","British Columbia","Accommodation and food services [72]","Persons",210133
"2015-01","British Columbia","Other services (except public administration) [81]","Persons",73845
"2015-01","British Columbia","Public administration [91]","Persons",115501
"2015-01","Yukon","Industrial aggregate including unclassified businesses [00-91N]","Persons",19953
"2015-01","Yukon","Industrial aggregate excluding unclassified businesses [11-91N]","Persons",19794
"2015-01","Yukon","Goods producing industries [11-33N]","Persons",1829
"2015-01","Yukon","Construction [23]","Persons",1182
"2015-01","Yukon","Service producing industries [41-91N]","Persons",17965
"2015-01","Yukon","Trade [41-45N]","Persons",2892
"2015-01","Yukon","Wholesale trade [41]","Persons",283
"2015-01","Yukon","Retail trade [44-45]","Persons",2608
"2015-01","Yukon","Transportation and warehousing [48-49]","Persons",1436
"2015-01","Yukon","Information and cultural industries [51]","Persons",435
"2015-01","Yukon","Finance and insurance [52]","Persons",378
"2015-01","Yukon","Real estate and rental and leasing [53]","Persons",311
"2015-01","Yukon","Professional, scientific and technical services [54]","Persons",648
"2015-01","Yukon","Management of companies and enterprises [55]","Persons",51
"2015-01","Yukon","Administrative and support, waste management and remediation services [56]","Persons",439
"2015-01","Yukon","Educational services [61]","Persons",1330
"2015-01","Yukon","Health care and social assistance [62]","Persons",1231
"2015-01","Yukon","Arts, entertainment and recreation [71]","Persons",348
"2015-01","Yukon","Accommodation and food services [72]","Persons",1780
"2015-01","Yukon","Other services (except public administration) [81]","Persons",596
"2015-01","Yukon","Public administration [91]","Persons",6091
"2015-01","Northwest Territories","Industrial aggregate including unclassified businesses [00-91N]","Persons",26662
"2015-01","Northwest Territories","Industrial aggregate excluding unclassified businesses [11-91N]","Persons",26497
"2015-01","Northwest Territories","Goods producing industries [11-33N]","Persons",5445
"2015-01","Northwest Territories","Construction [23]","Persons",2156
"2015-01","Northwest Territories","Service producing industries [41-91N]","Persons",21052
"2015-01","Northwest Territories","Trade [41-45N]","Persons",3205
"2015-01","Northwest Territories","Wholesale trade [41]","Persons",588
"2015-01","Northwest Territories","Retail trade [44-45]","Persons",2617
"2015-01","Northwest Territories","Transportation and warehousing [48-49]","Persons",2161
